number_of_compartments,number_of_channels,run_time,simulation_time,dt,number_of_spikes,mean_spike_interval,variance_spike_interval
177,705,16.3460059166,10.0,5e-05,2,33.0,0.0
191,761,16.9454350471,10.0,5e-05,1,-1.0,-1.0
223,889,20.1804900169,10.0,5e-05,2,29.0,0.0
226,901,19.5145869255,10.0,5e-05,2,36.0,0.0
235,937,20.6244080067,10.0,5e-05,2,33.0,0.0
245,977,21.0901370049,10.0,5e-05,2,31.0,0.0
250,997,21.9357759953,10.0,5e-05,2,33.0,0.0
262,1045,23.0217971802,10.0,5e-05,1,-1.0,-1.0
263,1049,23.2176139355,10.0,5e-05,1,-1.0,-1.0
264,1053,23.3287689686,10.0,5e-05,1,-1.0,-1.0
264,1053,22.6778540611,10.0,5e-05,2,29.0,0.0
279,1113,24.6954591274,10.0,5e-05,2,35.0,0.0
282,1125,24.4118108749,10.0,5e-05,2,29.0,0.0
285,1137,24.9502339363,10.0,5e-05,1,-1.0,-1.0
285,1137,24.6584541798,10.0,5e-05,1,-1.0,-1.0
295,1177,26.2250759602,10.0,5e-05,2,34.0,0.0
298,1189,25.7441208363,10.0,5e-05,2,32.0,0.0
318,1269,27.8465411663,10.0,5e-05,2,38.0,0.0
320,1277,27.8465929031,10.0,5e-05,2,29.0,0.0
323,1289,28.3276088238,10.0,5e-05,2,35.0,0.0
335,1337,29.5686190128,10.0,5e-05,2,32.0,0.0
346,1381,31.5792360306,10.0,5e-05,2,36.0,0.0
352,1405,30.8092551231,10.0,5e-05,2,33.0,0.0
371,1481,32.0875651836,10.0,5e-05,2,31.0,0.0
377,1505,34.0669858456,10.0,5e-05,2,32.0,0.0
377,1505,32.7916870117,10.0,5e-05,1,-1.0,-1.0
416,1661,36.3554489613,10.0,5e-05,2,34.0,0.0
423,1689,35.7074460983,10.0,5e-05,2,32.0,0.0
491,1958,42.1205630302,10.0,5e-05,2,37.0,0.0
585,2337,48.101598978,10.0,5e-05,2,40.0,0.0
607,2389,51.1296308041,10.0,5e-05,976,102.476923077,0.249467455621
674,2695,57.2303290367,10.0,5e-05,1039,96.2157996146,0.169230140963
765,2991,63.621940136,10.0,5e-05,971,102.997938144,0.0041194600914
774,3057,65.2553248405,10.0,5e-05,1175,85.094548552,0.0856091232815
786,3136,66.534044981,10.0,5e-05,10,72.1111111111,16.987654321
838,3324,70.4107820988,10.0,5e-05,659,151.685410334,0.215623007918
848,3389,72.5327110291,10.0,5e-05,860,116.249126892,0.189390972257
853,3297,71.3581428528,10.0,5e-05,982,101.849133537,0.130144509181
864,3455,73.8278069496,10.0,5e-05,5,60.5,11.25
890,3557,75.1039681435,10.0,5e-05,3,53.0,1.0
929,3713,79.1827158928,10.0,5e-05,11,71.6,23.24
947,3611,78.5321199894,10.0,5e-05,1100,90.923566879,0.0705910990304
986,3845,82.6079890728,10.0,5e-05,728,137.330123796,0.229395170369
1000,3318,78.727325201,10.0,5e-05,18,54.4117647059,6.24221453287
1004,4015,85.6924681664,10.0,5e-05,7,62.8333333333,23.4722222222
1008,3847,83.8893828392,10.0,5e-05,1155,86.6239168111,0.234644623929
1054,4205,89.3644709587,10.0,5e-05,1011,98.9297029703,0.0673355553377
1054,4205,89.2055170536,10.0,5e-05,1011,98.9297029703,0.0673355553377
1091,3994,90.4938528538,10.0,5e-05,11,60.9,16.69
1099,4395,93.2785620689,10.0,5e-05,1381,72.3992753623,0.336955996639
1122,4442,95.5835068226,10.0,5e-05,1128,88.6335403727,0.232166968867
1188,4669,99.8632609844,10.0,5e-05,914,109.388828039,0.239831375687
1188,4669,99.6053650379,10.0,5e-05,914,109.388828039,0.239831375687
1191,4434,98.2920498848,10.0,5e-05,1098,91.0948040109,0.0858162104488
1204,4788,102.123034954,10.0,5e-05,1078,92.8022284123,0.158657986825
1241,4742,103.763323069,10.0,5e-05,1154,86.6357328708,0.231576587792
1272,5087,108.405684948,10.0,5e-05,1055,94.7533206831,0.191521231128
1303,5208,111.8676548,10.0,5e-05,4,56.0,2.66666666667
1319,5270,112.220611095,10.0,5e-05,7,63.3333333333,12.5555555556
1361,5428,118.906275034,10.0,5e-05,323,309.5,0.25
1413,5649,123.498226166,10.0,5e-05,0,-1.0,-1.0
1414,5607,120.968672037,10.0,5e-05,34,61.9696969697,14.8778696051
1435,5739,122.370640039,10.0,5e-05,8,67.1428571429,16.4081632653
1458,5831,124.168786049,10.0,5e-05,855,116.908665105,0.0829928316395
1478,5905,124.120853901,10.0,5e-05,3,52.0,1.0
1512,6047,128.151412964,10.0,5e-05,8,61.8571428571,21.2653061224
1518,5904,127.985743999,10.0,5e-05,1207,82.8781094527,0.113666740922
1543,6171,132.981533051,10.0,5e-05,990,100.993933266,0.0080521735041
1557,6220,133.129641056,10.0,5e-05,4,55.0,4.66666666667
1634,6436,138.024569035,10.0,5e-05,674,148.374442793,0.234235387886
1637,6533,140.002141953,10.0,5e-05,1082,92.4375578168,0.246100973762
1642,6471,138.544480085,10.0,5e-05,771,129.798701299,0.160777534154
1659,6635,141.74098897,10.0,5e-05,689,145.220930233,0.1721200649
1686,6681,142.579952955,10.0,5e-05,962,103.998959417,0.00103949991392
1712,6845,147.263463974,10.0,5e-05,786,127.221656051,0.17252464603
1716,6778,147.486639023,10.0,5e-05,939,106.560767591,0.248439496092
1718,6867,146.230062008,10.0,5e-05,909,110.003303965,0.00990097809001
1755,7003,150.245055199,10.0,5e-05,463,215.987012987,0.0128183504807
1833,7201,156.702600002,10.0,5e-05,624,160.192616372,0.165146124098
1842,5854,144.112910032,10.0,5e-05,3,63.0,0.0
1909,7631,164.026540995,10.0,5e-05,3,55.5,0.25
1955,7819,162.282635927,10.0,5e-05,5,59.5,7.25
1966,7863,158.477132082,10.0,5e-05,652,153.437788018,0.24612966935
2081,6267,150.983855963,10.0,5e-05,1204,83.0980881131,0.0934543663009
2101,8403,169.326625109,10.0,5e-05,873,114.575688073,0.246564893527
2119,8468,185.283689976,10.0,5e-05,5,59.75,9.1875
2139,8555,174.437094927,10.0,5e-05,1214,82.3660346249,0.327683946039
