nseg,nchan,simtime,dt,runtime,simulator,comment
123,131,1.0,5e-06,4.67005681992,neuron, 
205,310,1.0,5e-06,9.24650216103,neuron, 
195,233,1.0,5e-06,7.7805249691,neuron, 
111,131,1.0,5e-06,4.47443413734,neuron, 
343,427,1.0,5e-06,14.0956668854,neuron, 
4143,174,1.0,5e-06,36.9560370445,neuron, 
399,200,1.0,5e-06,11.7408900261,neuron, 
263,132,1.0,5e-06,7.4360909462,neuron, 
427,214,1.0,5e-06,12.4655570984,neuron, 
143,72,1.0,5e-06,4.00434112549,neuron, 
301,151,1.0,5e-06,8.80336093903,neuron, 
329,462,1.0,5e-06,14.5436251163,neuron, 
439,220,1.0,5e-06,12.7790958881,neuron, 
445,223,1.0,5e-06,12.8354310989,neuron, 
1391,206,1.0,5e-06,19.4024090767,neuron, 
285,143,1.0,5e-06,8.17090988159,neuron, 
123,62,1.0,5e-06,3.42595791817,neuron, 
237,119,1.0,5e-06,6.81124901772,neuron, 
1745,100,1.0,5e-06,15.9559798241,neuron, 
553,277,1.0,5e-06,16.1714160442,neuron, 
709,355,1.0,5e-06,20.9002950191,neuron, 
425,213,1.0,5e-06,12.2766540051,neuron, 
473,237,1.0,5e-06,13.439884901,neuron, 
219,110,1.0,5e-06,6.10674190521,neuron, 
535,268,1.0,5e-06,15.5453670025,neuron, 
79,40,1.0,5e-06,2.25295209885,neuron, 
315,443,1.0,5e-06,13.7923521996,neuron, 
1619,240,1.0,5e-06,21.1396050453,neuron, 
395,198,1.0,5e-06,11.5194561481,neuron, 
163,82,1.0,5e-06,4.66575288773,neuron, 
735,368,1.0,5e-06,21.570515871,neuron, 
905,453,1.0,5e-06,26.7843930721,neuron, 
155,78,1.0,5e-06,4.47593092918,neuron, 
897,154,1.0,5e-06,12.1748077869,neuron, 
487,244,1.0,5e-06,14.1128489971,neuron, 
165,83,1.0,5e-06,4.64395403862,neuron, 
929,194,1.0,5e-06,14.5768039227,neuron, 
229,115,1.0,5e-06,6.53610491753,neuron, 
849,425,1.0,5e-06,25.3668179512,neuron, 
557,279,1.0,5e-06,16.3959228992,neuron, 
289,145,1.0,5e-06,8.33898711205,neuron, 
443,222,1.0,5e-06,12.8179950714,neuron, 
371,435,1.0,5e-06,14.972427845,neuron, 
347,441,1.0,5e-06,14.3273069859,neuron, 
353,450,1.0,5e-06,14.6386079788,neuron, 
283,310,1.0,5e-06,11.1125679016,neuron, 
297,413,1.0,5e-06,12.9174051285,neuron, 
393,599,1.0,5e-06,18.1459059715,neuron, 
